id,source,query
CG100_Alcohol-use disorders: diagnosis and management of physical complications & Overview,CG100,What are the recommended management strategies for physical complications of alcohol-use disorders?
CG100_Recommendations: 1.1 Acute alcohol withdrawal - Part 1,CG100,What are the criteria for hospital admission during acute alcohol withdrawal?
CG100_Recommendations: 1.1 Acute alcohol withdrawal - Part 2,CG100,What are the recommended pharmacological treatments for acute alcohol withdrawal?
CG100_Recommendations: 1.1 Acute alcohol withdrawal - Part 3,CG100,What is the recommended management of delirium tremens and alcohol withdrawal seizures according to NICE guidelines?
CG100_Recommendations: 1.2 Wernicke's encephalopathy,CG100,What is the recommended thiamine treatment for suspected Wernicke's encephalopathy?
CG100_Recommendations: 1.3 Alcohol-related liver disease - Part 1,CG100,What are the indications for liver biopsy in diagnosing alcohol-related liver disease?
CG100_Recommendations: 1.3 Alcohol-related liver disease - Part 2,CG100,When should corticosteroid treatment be considered for severe alcohol-related hepatitis?
CG100_Recommendations: 1.4 Alcohol-related pancreatitis - Part 1,CG100,What are the recommended diagnostic and treatment options for alcohol-related pancreatitis?
CG100_Recommendations: 1.4 Alcohol-related pancreatitis - Part 2,CG100,What are the nutritional support recommendations for acute alcohol-related pancreatitis?
CG100_Recommendations: Terms used in this guideline - Part 1,CG100,What are the assessment tools for monitoring alcohol withdrawal severity?
CG100_Recommendations: Terms used in this guideline - Part 2,CG100,What are the criteria for diagnosing harmful and hazardous drinking according to NICE guidelines?
CG100_Context,CG100,What are the recommended management strategies for alcohol withdrawal syndrome in adults?
CG100_Recommendations for research: 1 Admission to hospital for acute alcohol withdrawal,CG100,What is the effectiveness of hospital admission versus outpatient management for mild or moderate acute alcohol withdrawal in achieving long-term abstinence?
CG100_Recommendations for research: 2 Dosing regimens for acute alcohol withdrawal,CG100,"What are the safety and effectiveness of symptom-triggered, fixed-dosing, and front-loading regimens for managing acute alcohol withdrawal?"
CG100_Recommendations for research: 3 Drugs for the management of alcohol withdrawal & Recommendations for research: 4 Assessment and monitoring,CG100,"What is the effectiveness of clomethiazole compared to chlordiazepoxide, carbamazepine, or benzodiazepines in managing acute alcohol withdrawal?"
CG100_Recommendations for research: 5 Wernicke's encephalopathy,CG100,What is the most effective route of thiamine administration to prevent Wernicke's encephalopathy during alcohol withdrawal?
"CG103_Delirium: prevention, diagnosis and management in hospital and long-term care & Overview & Recommendations: 1.1 Think delirium",CG103,What are the key strategies for preventing delirium in hospitalized and long-term care patients?
CG103_Recommendations: 1.2 Risk factor assessment,CG103,What are the key risk factors for delirium in hospitalized or long-term care patients?
CG103_Recommendations: 1.3 Indicators of delirium: at presentation,CG103,What are the key indicators of delirium at presentation in at-risk patients?
CG103_Recommendations: 1.4 Preventing delirium - Part 1,CG103,What are the best strategies for preventing delirium in hospitalized patients at risk?
CG103_Recommendations: 1.4 Preventing delirium - Part 2,CG103,What are the recommended strategies for preventing infections and promoting recovery in hospitalized patients?
CG103_Recommendations: 1.5 Indicators of delirium: daily observations,CG103,What are the recommended daily observation practices for detecting delirium in hospitalized or long-term care patients?
CG103_Recommendations: 1.6 Assessment and diagnosis,CG103,What are the recommended assessment tools for diagnosing delirium in clinical practice?
CG103_Recommendations: 1.7 Treating delirium,CG103,What are the recommended management strategies for treating delirium according to NICE guidelines?
CG103_Recommendations: 1.8 Information and support & Recommendations: Terms used in this guideline,CG103,What information and support should be provided to patients and families about delirium?
CG103_Recommendations for research: 1 Delirium assessment tools,CG103,What is the diagnostic accuracy and usability of delirium assessment tools for patients with cognitive impairments or language barriers in various healthcare settings?
CG103_Recommendations for research: 2 Pharmacological prevention,CG103,What is the most effective and cost-effective pharmacological prevention for delirium in high-risk hospitalized patients?
CG103_Recommendations for research: 3 Pharmacological treatment,CG103,"What is the most effective medication for treating delirium in hospitalized patients: atypical antipsychotics, typical antipsychotics, or benzodiazepines?"
CG103_Recommendations for research: 4 Multicomponent intervention,CG103,What is the effectiveness of multicomponent non-pharmacological interventions in preventing delirium in long-term care residents?
CG103_Recommendations for research: 5 Delirium in long-term care,CG103,What is the prevalence and impact of delirium in long-term care residents?
CG103_Recommendations for research: 6 Education programme,CG103,What is the effectiveness of staff education programs in reducing delirium incidence and improving recognition in hospitalized patients?
CG103_Rationale and impact: Indicators of delirium: daily observations,CG103,What are the recommended methods for daily observation and recording of delirium indicators in care settings?
CG103_Rationale and impact: Assessment and diagnosis - Part 1,CG103,What is the recommended assessment tool for diagnosing delirium in clinical practice?
CG103_Rationale and impact: Assessment and diagnosis - Part 2,CG103,What are the recommended delirium assessment tools for critical care and post-surgical settings?
CG103_Context,CG103,What are the best strategies for preventing delirium in hospitalized older adults?
CG104_Metastatic malignant disease of unknown primary origin in adults: diagnosis and management & Overview,CG104,What are the recommended diagnostic and management strategies for metastatic malignant disease of unknown primary in adults?
CG104_Recommendations: 1.1 Organisation of services and support - Part 1,CG104,What are the recommended team members and responsibilities for a CUP service in hospitals?
CG104_Recommendations: 1.1 Organisation of services and support - Part 2,CG104,What are the recommended procedures for managing patients with cancer of unknown primary according to NICE guidelines?
