id,query,tokens_regular,tokens_lemmatized
CG100_Alcohol-use disorders: diagnosis and management of physical complications & Overview,What are the recommended management strategies for physical complications of alcohol-use disorders?,"['recommended', 'management', 'strategies', 'physical', 'complications', 'alcoholuse', 'disorders']","['recommended', 'management', 'strategy', 'physical', 'complication', 'alcoholuse', 'disorder']"
CG100_Recommendations: 1.1 Acute alcohol withdrawal - Part 1,What are the criteria for hospital admission during acute alcohol withdrawal?,"['criteria', 'hospital', 'admission', 'acute', 'alcohol', 'withdrawal']","['criterion', 'hospital', 'admission', 'acute', 'alcohol', 'withdrawal']"
CG100_Recommendations: 1.1 Acute alcohol withdrawal - Part 2,What are the recommended pharmacological treatments for acute alcohol withdrawal?,"['recommended', 'pharmacological', 'treatments', 'acute', 'alcohol', 'withdrawal']","['recommended', 'pharmacological', 'treatment', 'acute', 'alcohol', 'withdrawal']"
CG100_Recommendations: 1.1 Acute alcohol withdrawal - Part 3,What is the recommended management of delirium tremens and alcohol withdrawal seizures according to NICE guidelines?,"['recommended', 'management', 'delirium', 'tremens', 'alcohol', 'withdrawal', 'seizures', 'according', 'nice', 'guidelines']","['recommended', 'management', 'delirium', 'tremens', 'alcohol', 'withdrawal', 'seizure', 'according', 'nice', 'guideline']"
CG100_Recommendations: 1.2 Wernicke's encephalopathy,What is the recommended thiamine treatment for suspected Wernicke's encephalopathy?,"['recommended', 'thiamine', 'treatment', 'suspected', 'wernickes', 'encephalopathy']","['recommended', 'thiamine', 'treatment', 'suspected', 'wernicke', 'encephalopathy']"
CG100_Recommendations: 1.3 Alcohol-related liver disease - Part 1,What are the indications for liver biopsy in diagnosing alcohol-related liver disease?,"['indications', 'liver', 'biopsy', 'diagnosing', 'alcoholrelated', 'liver', 'disease']","['indication', 'liver', 'biopsy', 'diagnosing', 'alcoholrelated', 'liver', 'disease']"
CG100_Recommendations: 1.3 Alcohol-related liver disease - Part 2,When should corticosteroid treatment be considered for severe alcohol-related hepatitis?,"['corticosteroid', 'treatment', 'considered', 'severe', 'alcoholrelated', 'hepatitis']","['corticosteroid', 'treatment', 'considered', 'severe', 'alcoholrelated', 'hepatitis']"
CG100_Recommendations: 1.4 Alcohol-related pancreatitis - Part 1,What are the recommended diagnostic and treatment options for alcohol-related pancreatitis?,"['recommended', 'diagnostic', 'treatment', 'options', 'alcoholrelated', 'pancreatitis']","['recommended', 'diagnostic', 'treatment', 'option', 'alcoholrelated', 'pancreatitis']"
CG100_Recommendations: 1.4 Alcohol-related pancreatitis - Part 2,What are the nutritional support recommendations for acute alcohol-related pancreatitis?,"['nutritional', 'support', 'recommendations', 'acute', 'alcoholrelated', 'pancreatitis']","['nutritional', 'support', 'recommendation', 'acute', 'alcoholrelated', 'pancreatitis']"
CG100_Recommendations: Terms used in this guideline - Part 1,What are the assessment tools for monitoring alcohol withdrawal severity?,"['assessment', 'tools', 'monitoring', 'alcohol', 'withdrawal', 'severity']","['assessment', 'tool', 'monitoring', 'alcohol', 'withdrawal', 'severity']"
CG100_Recommendations: Terms used in this guideline - Part 2,What are the criteria for diagnosing harmful and hazardous drinking according to NICE guidelines?,"['criteria', 'diagnosing', 'harmful', 'hazardous', 'drinking', 'according', 'nice', 'guidelines']","['criterion', 'diagnosing', 'harmful', 'hazardous', 'drinking', 'according', 'nice', 'guideline']"
CG100_Context,What are the recommended management strategies for alcohol withdrawal syndrome in adults?,"['recommended', 'management', 'strategies', 'alcohol', 'withdrawal', 'syndrome', 'adults']","['recommended', 'management', 'strategy', 'alcohol', 'withdrawal', 'syndrome', 'adult']"
CG100_Recommendations for research: 1 Admission to hospital for acute alcohol withdrawal,What is the effectiveness of hospital admission versus outpatient management for mild or moderate acute alcohol withdrawal in achieving long-term abstinence?,"['effectiveness', 'hospital', 'admission', 'versus', 'outpatient', 'management', 'mild', 'moderate', 'acute', 'alcohol', 'withdrawal', 'achieving', 'longterm', 'abstinence']","['effectiveness', 'hospital', 'admission', 'versus', 'outpatient', 'management', 'mild', 'moderate', 'acute', 'alcohol', 'withdrawal', 'achieving', 'longterm', 'abstinence']"
CG100_Recommendations for research: 2 Dosing regimens for acute alcohol withdrawal,"What are the safety and effectiveness of symptom-triggered, fixed-dosing, and front-loading regimens for managing acute alcohol withdrawal?","['safety', 'effectiveness', 'symptomtriggered', 'fixeddosing', 'frontloading', 'regimens', 'managing', 'acute', 'alcohol', 'withdrawal']","['safety', 'effectiveness', 'symptomtriggered', 'fixeddosing', 'frontloading', 'regimen', 'managing', 'acute', 'alcohol', 'withdrawal']"
CG100_Recommendations for research: 3 Drugs for the management of alcohol withdrawal & Recommendations for research: 4 Assessment and monitoring,"What is the effectiveness of clomethiazole compared to chlordiazepoxide, carbamazepine, or benzodiazepines in managing acute alcohol withdrawal?","['effectiveness', 'clomethiazole', 'compared', 'chlordiazepoxide', 'carbamazepine', 'benzodiazepines', 'managing', 'acute', 'alcohol', 'withdrawal']","['effectiveness', 'clomethiazole', 'compared', 'chlordiazepoxide', 'carbamazepine', 'benzodiazepine', 'managing', 'acute', 'alcohol', 'withdrawal']"
