k1,b,epsilon,tokenization_type,recall_at_1,recall_at_5,recall_at_10,recall_at_15,mrr,mean_rank
0.8571670448048521,0.6857996256539677,0.07538521056219513,lemmatized,0.446,0.758,0.856,0.893,0.5870942683145856,2802.629
0.9078764549329761,0.39360211702174475,0.05,lemmatized,0.44,0.755,0.845,0.893,0.5786604556680107,2802.752
0.726516086332052,0.6565474083997787,0.2221078960702233,lemmatized,0.441,0.757,0.851,0.892,0.5821645889173537,2802.689
0.5,1.0,0.1802608358109853,lemmatized,0.446,0.757,0.849,0.89,0.5847032588643187,3029.57
1.1654463242285567,1.0,0.5,lemmatized,0.452,0.747,0.849,0.889,0.586433648236312,2802.761
1.6886133713527371,0.5855670776356985,0.10024004674109994,lemmatized,0.435,0.754,0.847,0.887,0.5763238301448222,2802.778
0.5029696443385052,0.10103813757491115,0.11530643506798306,lemmatized,0.427,0.736,0.837,0.88,0.5654713905283761,3067.65
2.3759724378265767,1.0,0.1375227461931226,lemmatized,0.431,0.739,0.83,0.877,0.5653601454024948,2916.451
1.3486069803956677,1.0,0.41066089482842333,regular,0.443,0.738,0.836,0.876,0.5774130558980269,2651.739
0.5,0.7891514111267339,0.05,regular,0.43,0.743,0.844,0.875,0.5717139025904305,3067.58
1.6145818821339781,0.18997742423620262,0.2566620013846403,regular,0.413,0.728,0.828,0.867,0.5519666966795161,3143.512
2.0291329012207022,0.10635967469774567,0.060378091268637094,lemmatized,0.399,0.718,0.812,0.864,0.5399373695405423,3181.445
1.499652429288139,0.1419990968922539,0.4881899834786567,regular,0.399,0.722,0.821,0.864,0.5419885911101018,3294.84
2.491357467150583,0.26509131087954746,0.40086095012274625,lemmatized,0.401,0.711,0.807,0.863,0.538814269325507,3105.911
2.846381772539376,0.1007008892569129,0.496495201681048,lemmatized,0.379,0.688,0.777,0.835,0.5140931641990931,3938.25
